,#OTU ID,984N2,948N2,954P,973P2,981P,985P,951N,962P,706C,970P2,947N2,952P2,971P2,948N,978P2,922C2,739N,921C2,950N2,742P,701C,702C,919C,980N,960N2,920C,960N,988P2,972P,923C,705C,929C2,947N,958P2,922C,953P,706C2,918C,742P2,702C2,950N,990P2,737P,926C2,927C2,735P2,741P,732N2,990P,970P,975N,967N,917C,958P,739N2,971P,983N2,743P,983N,957P2,928C,740P,985P2,988P,918C2,924C,929C,951N2,987P,949N2,923C2,963P,916C2,982N,972P2,701C2,949N,966N,963P2,979N2,955N2,926C,952P,925C2,924C2,732N,921C,705C2,956N,986N,736N,741P2,928C2,956N2,930C,989N,736N2,986N2,919C2,981P2,955N,925C,962P2,734N,957P,978P,737P2,744P2,975N2,927C,973P,744P,989N2,735P,954P2,953P2,916C,984N
21,b6c3f6af32f373b976715e67b4c5a01f,42.0,0.0,16.0,11.0,0.0,0.0,43.0,16.0,0.0,194.0,54.0,0.0,0.0,0.0,65.0,133.0,0.0,74.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,66.0,0.0,22.0,57.0,35.0,0.0,0.0,183.0,44.0,0.0,5.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,45.0,38.0,0.0,0.0,0.0,460.0,24.0,39.0,0.0,0.0,0.0,0.0,164.0,289.0,0.0,120.0,0.0,0.0,9.0,24.0,0.0,0.0,13.0,48.0,0.0,60.0,20.0,0.0,0.0,48.0,0.0,0.0,132.0,19.0,34.0,0.0,0.0,19.0,212.0,0.0,28.0,78.0,0.0,0.0,0.0,0.0,103.0,65.0,0.0,39.0,0.0,9.0,0.0,170.0,0.0,0.0,0.0,35.0,96.0,0.0,0.0,0.0,0.0,186.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
25,1ab7f0860f48e14d2150fa5c85b5c36c,40.0,0.0,231.0,0.0,0.0,14.0,7.0,27.0,8.0,49.0,8.0,36.0,0.0,17.0,71.0,28.0,0.0,126.0,0.0,3.0,113.0,1.0,5.0,17.0,0.0,242.0,0.0,9.0,6.0,0.0,29.0,10.0,5.0,0.0,9.0,20.0,0.0,298.0,0.0,5.0,13.0,1.0,39.0,34.0,19.0,35.0,9.0,22.0,5.0,218.0,53.0,168.0,87.0,0.0,40.0,24.0,0.0,134.0,593.0,0.0,214.0,44.0,43.0,38.0,64.0,14.0,26.0,6.0,8.0,2.0,23.0,7.0,0.0,4.0,108.0,13.0,15.0,19.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,26.0,13.0,0.0,1.0,15.0,100.0,16.0,0.0,272.0,0.0,50.0,394.0,0.0,0.0,0.0,0.0,13.0,105.0,51.0,23.0,0.0,3.0,101.0,0.0,0.0,16.0,718.0,0.0,98.0,272.0,68.0
32,bf36b01f87a17fc733ac17b0c6e9685b,35.0,0.0,96.0,0.0,0.0,20.0,17.0,18.0,7.0,0.0,5.0,8.0,16.0,0.0,38.0,5.0,7.0,4.0,0.0,6.0,0.0,21.0,25.0,31.0,0.0,42.0,0.0,41.0,2.0,3.0,67.0,25.0,17.0,0.0,4.0,37.0,41.0,200.0,0.0,0.0,14.0,2.0,0.0,60.0,12.0,43.0,2.0,17.0,0.0,54.0,35.0,0.0,0.0,0.0,20.0,11.0,0.0,48.0,185.0,0.0,61.0,49.0,11.0,29.0,14.0,0.0,55.0,0.0,12.0,0.0,6.0,0.0,0.0,0.0,86.0,8.0,2.0,1.0,22.0,0.0,0.0,0.0,51.0,84.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,170.0,0.0,91.0,55.0,0.0,0.0,16.0,20.0,14.0,40.0,74.0,16.0,0.0,7.0,101.0,0.0,6.0,5.0,229.0,14.0,27.0,170.0,45.0
44,a7389121b839012c798dc1842d0818b0,28.0,0.0,166.0,4.0,4.0,0.0,23.0,22.0,0.0,60.0,28.0,4.0,6.0,46.0,19.0,20.0,0.0,100.0,0.0,17.0,45.0,3.0,5.0,0.0,0.0,91.0,2.0,13.0,16.0,6.0,53.0,25.0,29.0,0.0,0.0,84.0,31.0,280.0,21.0,8.0,25.0,0.0,20.0,0.0,6.0,0.0,0.0,0.0,2.0,168.0,35.0,47.0,40.0,0.0,40.0,33.0,0.0,0.0,468.0,0.0,164.0,64.0,11.0,8.0,157.0,20.0,9.0,24.0,0.0,0.0,8.0,16.0,0.0,2.0,0.0,0.0,37.0,1.0,15.0,1.0,0.0,31.0,134.0,62.0,0.0,14.0,13.0,13.0,2.0,0.0,0.0,0.0,79.0,22.0,4.0,238.0,0.0,51.0,221.0,0.0,0.0,0.0,3.0,16.0,116.0,26.0,0.0,0.0,9.0,190.0,20.0,3.0,11.0,312.0,8.0,57.0,138.0,48.0
49,c59804d7c726d19508b8cb581b024f6f,26.0,0.0,0.0,0.0,0.0,0.0,44.0,20.0,0.0,147.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,15.0,0.0,0.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,25.0,37.0,21.0,4.0,0.0,133.0,49.0,0.0,16.0,67.0,0.0,52.0,31.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,2.0,0.0,0.0,244.0,5.0,0.0,15.0,0.0,0.0,0.0,53.0,109.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,6.0,45.0,12.0,0.0,0.0,34.0,0.0,0.0,42.0,0.0,0.0,68.0,0.0,35.0,0.0,0.0,0.0,229.0,0.0,24.0,39.0,68.0,0.0,0.0,0.0,227.0,15.0,0.0,21.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,70.0,51.0,0.0,122.0,0.0,0.0,46.0,0.0,29.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
51,49e4a7c667aff411da5116072770293e,24.0,0.0,320.0,25.0,0.0,0.0,2.0,11.0,0.0,11.0,0.0,6.0,16.0,0.0,20.0,0.0,36.0,34.0,34.0,33.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,0.0,22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,115.0,0.0,0.0,0.0,12.0,0.0,5.0,0.0,0.0,85.0,86.0,0.0,14.0,0.0,56.0,205.0,0.0,0.0,0.0,0.0,131.0,0.0,36.0,41.0,0.0,0.0,33.0,3.0,28.0,18.0,26.0,13.0,0.0,0.0,0.0,0.0,75.0,72.0,235.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,51.0,114.0,0.0,0.0,0.0,73.0,34.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,3.0,0.0,152.0,0.0,0.0,0.0,17.0,0.0,33.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0
76,11dca367a8dc204bd296cc0df477003f,18.0,0.0,22.0,3.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,6.0,22.0,0.0,0.0,21.0,0.0,7.0,4.0,22.0,0.0,56.0,0.0,0.0,0.0,10.0,0.0,0.0,84.0,39.0,21.0,0.0,0.0,45.0,0.0,17.0,13.0,0.0,17.0,0.0,0.0,32.0,8.0,10.0,0.0,0.0,4.0,68.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,76.0,0.0,14.0,18.0,0.0,19.0,0.0,0.0,3.0,16.0,11.0,2.0,5.0,1.0,0.0,0.0,42.0,9.0,0.0,0.0,0.0,0.0,0.0,20.0,61.0,0.0,7.0,0.0,0.0,41.0,0.0,0.0,0.0,21.0,0.0,9.0,0.0,78.0,0.0,64.0,38.0,0.0,0.0,15.0,0.0,16.0,0.0,68.0,50.0,0.0,0.0,143.0,0.0,0.0,0.0,19.0,5.0,0.0,74.0,22.0
105,40906c62dade3f225854f641f55beecc,14.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,25.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,9.0,29.0,7.0,0.0,75.0,0.0,2.0,3.0,12.0,0.0,11.0,0.0,0.0,2.0,13.0,14.0,61.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,17.0,92.0,21.0,0.0,15.0,0.0,0.0,0.0,62.0,0.0,61.0,0.0,0.0,25.0,40.0,23.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,18.0,0.0,17.0,5.0,0.0,0.0,0.0,29.0,0.0,10.0,0.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,42.0,0.0,0.0,79.0,0.0,0.0,8.0,0.0,0.0,15.0,0.0,6.0,0.0,9.0,39.0,0.0,0.0,0.0,241.0,0.0,14.0,0.0,36.0
107,070af169e07c83b5e645e67eb43549ad,14.0,0.0,0.0,0.0,0.0,8.0,12.0,4.0,1.0,0.0,8.0,31.0,0.0,20.0,25.0,0.0,21.0,10.0,0.0,0.0,1.0,0.0,40.0,15.0,0.0,16.0,0.0,7.0,0.0,6.0,30.0,3.0,0.0,0.0,0.0,17.0,39.0,49.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,12.0,0.0,97.0,7.0,70.0,9.0,0.0,19.0,0.0,0.0,20.0,98.0,13.0,50.0,0.0,22.0,13.0,23.0,68.0,23.0,3.0,8.0,0.0,17.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,30.0,7.0,0.0,6.0,0.0,4.0,4.0,0.0,2.0,44.0,1.0,0.0,56.0,0.0,0.0,16.0,2.0,0.0,32.0,0.0,4.0,55.0,15.0,33.0,0.0,0.0,15.0,0.0,0.0,0.0,99.0,7.0,13.0,70.0,23.0
124,f750b45a6bedc5f8684fb32c272994e0,13.0,0.0,55.0,16.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,9.0,8.0,0.0,26.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,51.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,64.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,2.0,81.0,0.0,0.0,0.0,76.0,0.0,0.0,51.0,35.0,0.0,0.0,31.0,0.0,84.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,17.0,45.0,148.0,82.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,51.0,28.0,0.0,0.0,0.0,27.0,25.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,7.0,0.0,68.0,0.0,0.0,0.0,2.0,0.0,40.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0
