"","006A","022A","015A","020A","015B","022B","020B","012B","012A","009B","009A","033B","007B","024B","045B","045A","035B","032A","023B","035A","025A","025B","032B","068A","023A","019B","019A","051B","051A","068B","038A","052B","039B","074A","056B","055B","052A","029A","056A","038B","057B","062B","063B","061B","060A","061A","057A","058A","062A","007A","040B","024A","033A","058B","060B","049A","065B","065A","049B","016B","016A","013B","006B","001A","013A","008A","008B","043B","011A","034A","039A","055A","040A","043A","063A","001B"
"k__Bacteria;__;__;__;__;__;__",15,172,9,7,20,32,3,58,111,26,11,19,5,10,306,49,56,21,17,45,11,8,33,8,49,16,62,11,19,15,34,10,74,13,17,15,9,11,22,10,17,11,8,8,19,7,11,4,3,7,6,3,26,4,19,76,6,5,22,16,8,12,5,4,18,41,35,30,100,4,86,14,11,4,12,1
"k__Bacteria;p__;c__;o__;f__;g__;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;__;__;__;__;__",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;__;__;__",0,1,4,7,7,1,7,5,4,4,2,1,8,7,1,0,0,4,0,0,17,15,3,0,0,1,7,4,3,0,1,1,2,6,1,13,5,5,1,2,2,1,1,1,0,1,7,0,10,3,2,14,3,4,3,1,1,2,1,3,20,4,1,8,0,15,1,6,0,3,0,1,4,2,1,5
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;__;__",0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__;s__",10,2,33,783,18,1,837,39,31,20,19,38,92,18,2,33,8,244,12,5,131,156,48,0,0,1,54,65,11,5,20,3,21,4,42,105,57,84,48,8,133,37,1,0,1,0,523,99,664,29,18,883,26,10,5,5,7,0,7,20,429,0,19,0,23,640,21,77,185,6,25,206,47,384,10,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;__",0,0,2,0,0,0,0,0,1,1,2,2,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,12,0,1,0,0,0,0,0,0,1,0,1,2
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__",177,163,1125,420,1001,117,684,194,421,379,145,180,1318,203,234,515,104,313,87,128,4237,5426,484,202,129,89,512,213,118,82,764,417,634,707,351,201,711,769,348,578,477,555,113,767,122,348,1429,287,1487,750,99,1145,126,596,283,328,186,111,211,218,404,38,35,1110,78,488,99,319,148,972,452,169,305,241,105,838
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__hyovaginalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;__",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__",15,183,128,450,724,439,487,51,143,172,23,479,662,204,242,82,170,595,130,11,558,263,355,49,13,218,648,436,195,145,217,87,229,28,67,353,906,40,156,1198,169,73,58,1,0,10,190,262,180,65,16,147,16,7,6,56,1,11,7,208,182,104,0,8,89,249,61,224,16,990,502,391,95,47,111,406
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__durum",7,0,1,5,54,14,11,2,5,2,0,3,73,4,8,4,0,2,5,0,493,11,0,1,0,0,0,10,0,0,0,0,4,25,15,2,0,0,90,0,0,0,31,0,0,1,0,3,0,9,22,0,1,1,279,0,14,0,0,22,1,4,3,0,1,6,0,0,2,49,5,0,166,1,29,4
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;__",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__maritypicum",0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;__;__",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Renibacterium;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;__",7,0,0,0,0,0,0,0,2,2,0,0,1,0,1,2,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,9,10,1,0,2,2,1,0,0,0,0,4,0,0,0,0,0,5,0,0,0,1,9,0,0,1,1,1,2,0,6,1,1,0,0,2,2,0,2,2,6,9,0,3
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__aeria",17,5,1,0,0,1,14,18,40,13,1,2,39,4,1,0,9,5,1,0,43,42,7,0,0,5,3,5,6,0,0,3,87,40,10,5,1,0,18,0,0,0,11,14,0,6,0,0,3,8,20,0,2,50,63,0,7,10,0,28,25,7,5,1,52,17,3,91,3,0,5,16,37,89,14,10
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__dentocariosa",2,3,7,10,16,3,19,0,6,0,0,0,94,4,7,34,1,9,66,0,600,453,5,1,0,2,4,8,0,2,7,3,3,155,2,1,3,83,8,7,4,5,4,56,0,3,10,2,0,49,9,1,0,43,51,0,2,0,0,0,4,18,7,5,1,1,0,3,1,2,17,3,30,27,2,5
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa",0,0,0,0,2,0,1,0,2,2,3,0,2,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,2,4,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus;__",0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus;s__globerulus",0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;__;__",2,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,2,0,0,0,1,3,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,9,0,0,2,2,1,3,0,0,0,2,4,1,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__;s__",45,108,10,5,103,122,11,14,76,34,20,50,43,2,69,5,1,218,4,4,260,46,315,1,2,5,17,71,70,2,0,35,54,337,24,150,88,258,167,3,32,0,12,9,0,5,25,34,0,2,316,2,44,112,2,42,25,8,75,135,154,1382,0,121,101,272,8,21,25,0,131,125,274,10,38,22
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__acnes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
