"","009A.kraken","009B.kraken","012A.kraken","012B.kraken","015A.kraken","015B.kraken","022A.kraken","022B.kraken","024A.kraken","033A.kraken","033B.kraken","035A.kraken","035B.kraken","038A.kraken","038B.kraken","049A.kraken","049B.kraken","052A.kraken","052B.kraken","057A.kraken","057B.kraken","068A.kraken","068B.kraken","1_1bx.kraken","12_1by.kraken","12_2by.kraken","12_3by.kraken","1_2bx.kraken","1_3bx.kraken","15_1bx.kraken","15_1bz.kraken","15_2bz.kraken","15_3bx.kraken","15_bx.kraken","19_1bx.kraken","19_2bx.kraken","20_1bx.kraken","20_2bx.kraken","20_3bx.kraken","22_2bx.kraken","3_1by.kraken","3_2by.kraken","3_3by.kraken","6_1bx.kraken","6_2bx.kraken","6_3by.kraken","7_3bx.kraken"
"d__Bacteria",2792876,3925405,2773478,5167921,1932698,4287257,1498892,2440410,2950005,5365152,4233641,4261078,2384563,4350395,3055618,4966744,3797694,4870019,5021798,3181890,4330181,4291161,4682702,1382528,1025816,3449811,2931327,3473342,869849,1425234,5146110,2005547,3818989,1596887,775973,3086183,2247600,913488,244489,4199301,3403285,4987281,3489433,363439,932026,3048708,2732544
"d__Bacteria|p__Proteobacteria",198836,647550,423827,690829,58209,145128,98147,188435,346416,274212,578342,109395,1269155,500881,661289,117901,225309,220565,661232,89358,68198,322432,224589,262813,365674,176266,183566,120645,159940,48046,305864,74042,131709,98221,82240,57200,65133,293305,33058,137819,100733,115805,54018,30529,50804,118055,93426
"d__Bacteria|p__Fusobacteria",74284,71924,112690,345340,112121,353591,330100,572937,99390,514170,494220,217698,127176,239355,267360,401408,942979,1338132,598171,88525,458315,242225,905166,200072,103403,320559,532286,234718,33521,75972,250591,52282,190222,65174,24060,228957,13485,53073,19644,730664,250734,583426,72551,74186,51985,142599,131632
"d__Bacteria|p__Nitrospirae",23,38,53,66,11,48,20,54,34,76,75,47,15,72,78,50,90,51,57,21,23,28,74,57,30,50,75,117,56,13,96,9,66,13,21,46,48,25,10,112,64,54,43,10,23,67,51
"d__Bacteria|p__Acidobacteria",101,150,122,154,23,62,73,171,130,166,296,94,128,133,163,82,174,210,163,75,125,122,294,113,80,221,222,283,84,51,157,112,282,115,35,138,68,32,10,185,152,133,175,26,48,121,167
"d__Bacteria|p__Caldiserica",1,0,2,2,7,9,1,5,2,8,16,3,1,2,1,3,9,111,11,0,1,6,30,7,1,4,8,3,0,2,17,3,2,1,1,4,1,1,0,11,4,10,2,1,1,1,3
"d__Bacteria|p__Dictyoglomi",5,13,5,20,0,23,4,25,13,33,14,7,1,20,14,10,32,16,8,13,13,12,14,6,3,12,25,22,3,1,0,6,20,4,0,22,2,3,0,46,19,12,44,1,2,8,5
"d__Bacteria|p__Elusimicrobia",45,72,42,46,4,13,60,59,29,90,73,55,13,38,41,71,76,66,36,27,23,42,95,44,14,20,37,47,14,4,3,20,57,16,6,41,28,4,3,57,19,34,41,12,6,17,25
"d__Bacteria|p__Aquificae",24,81,70,91,21,73,66,130,38,116,86,69,22,83,120,107,143,237,75,23,42,73,134,66,25,68,143,98,44,18,46,31,101,22,18,36,33,9,12,124,56,68,76,6,15,14,43
"d__Bacteria|p__Thermotogae",64,61,103,160,46,120,84,226,74,207,235,163,88,156,201,223,298,217,301,45,84,125,245,79,51,190,223,149,42,26,119,23,119,23,41,120,75,3,15,302,101,119,175,9,35,50,72
"d__Bacteria|p__Deferribacteres",10,13,41,45,14,32,21,51,13,74,52,35,15,26,39,43,76,67,53,14,37,37,58,36,8,33,47,48,63,13,26,10,24,9,16,27,25,3,7,66,32,38,41,5,10,1,17
"d__Bacteria|p__Chrysiogenetes",5,9,6,7,2,19,7,22,9,7,28,19,5,22,10,19,37,7,27,2,0,28,7,38,6,11,12,55,9,2,36,10,16,6,7,15,43,1,0,18,17,32,16,2,3,3,23
