"","1.1.By","1.1.Bz","1.1.pa","1.2.Bx","1.2.Bz","1.2.pa","1.3.Bx","1.3.By","1.3.Bz","1.3.pa","10.1.Bx","10.1.By","10.1.Bz","10.1.pa","10.2.Bx","10.2.By","10.2.Bz","10.2.pa","11.1.Bx","11.1.By","11.1.Bz","11.1.pa","11.2.Bx","11.2.By","11.2.Bz","11.2.pa","12.1.Bx","12.1.By","12.1.Bz","12.1.pa","12.2.Bx","12.2.Bz","12.2.pa","12.3.Bx","12.3.By","12.3.Bz","12.3.PA","13.1.Bx","14.1.Bx","14.1.By","14.1.Bz","14.1.pa","15.1.Bx","15.1.Bz","15.1.pa","15.2.Bx","15.2.By","15.2.Bz","15.2.pa","15.3.Bx","15.3.By","15.3.pa","16.1.Bx","16.1.By","16.1.Bz","16.1.pa","16.2.Bx","16.2.By","16.2.Bz","16.2.pa","16.3.Bx","16.3.By","16.3.Bz","16.3.pa","17.1.Bx","17.1.By","17.1.Bz","17.1.pa","17.2.Bx","17.2.By","17.2.Bz","17.2.pa","17.3.By","17.3.Bz","17.3.pa","18.1.Bx","18.1.By","18.1.Bz","18.1.pa","18.2.Bx","18.2.Bz","18.3.Bx","18.3.By","19.1.Bx","19.1.By","19.1.Bz","19.1.pa","19.2.Bx","19.2.By","19.2.Bz","19.2.pa","19.3.By","19.3.Bz","20.1.Bx","20.1.By","20.1.Bz","20.1.pa","20.2.Bx","20.2.Bz","20.2.pa","20.3.Bx","20.3.By","20.3.Bz","20.3.pa","22.2.Bx","22.2.pa","22.3.Bx","22.3.By","22.3.Bz","22.3.pa","3.1.Bx","3.1.By","3.1.Bz","3.1.pa","3.2.Bx","3.2.By","3.2.pa","3.3.Bx","3.3.By","3.3.Bz","3.3.pa","4.1.Bx","4.1.By","4.1.Bz","4.1.pa","4.2.Bx","4.2.By","4.2.Bz","4.2.pa","4.3.Bx","4.3.By","4.3.pa","5.1.Bx","5.1.By","5.1.Bz","5.1.pa","5.2.Bx","5.2.Bz","5.3.Bx","5.3.By","5.3.Bz","5.3.pa","6.1.Bx","6.1.By","6.1.Bz","6.1.pa","6.2.Bx","6.2.Bz","6.2.pa","6.3.Bx","6.3.By","6.3.Bz","6.3.pa","7.1.Bx","7.1.pa","8.1.Bx","8.1.By","8.1.Bz","8.1.pa","8.2.By","8.3.Bx","8.3.By","8.3.Bz","8.3.pa","9.1.Bz","9.1.pa","9.2.Bx","9.2.By","9.2.Bz","9.2.pa","23.1.Bx","23.1.By","23.1.Bz","23.1.PA","23.2.Bx","23.2.By","23.2.Bz","23.2.PA","24.1.Bx","24.1.By","24.1.PA","24.2.Bx","24.2.By","24.2.Bz","24.2.PA","25.1.Bx","25.1.Bz","25.1.PA","25.2.By","25.2.Bz","25.2.PA","26.1.Bx","26.1.By","26.1.Bz","26.1.PA","26.2.By","26.2.Bz","26.2.PA","27.1.Bx","27.1.By","27.1.Bz","27.1.PA","27.2.Bx","27.2.By","27.2.Bz","27.2.PA","28.1.Bx","28.1.By","28.1.PA","28.2.Bx","28.2.By","28.2.Bz","28.2.PA","29.1.Bx","29.1.By","29.1.Bz","29.1.PA","30.1.Bx","30.1.By","30.1.Bz","30.1.PA","30.2.Bx","30.2.By","30.2.Bz","30.2.PA","31.1.Bx","31.1.By","31.1.Bz","31.1.PA","32.1.Bx","32.1.Bz","32.1.PA","33.1.Bx","33.1.By","33.1.Bz","33.1.PA","33.2.Bx","33.2.By","33.2.Bz","34.1.Bx","34.1.By","34.1.Bz","34.1.PA","34.2.Bx","34.2.By","34.2.Bz","34.2.PA","35.1.Bx","35.1.By","35.1.Bz","35.1.PA","35.2.Bx","35.2.By","35.2.Bz","35.2.PA","36.1.Bx","36.1.By","36.1.Bz","36.1.PA","36.2.Bx","36.2.By","36.2.Bz","36.2.PA","13.1.pa","17.3.Bx","18.3.Bz","22.2.Bz","4.3.Bz","6.2.By","7.1.Bz","25.2.Bx","28.1.Bz","7.1.By","32.1.By","18.2.By","24.1.Bz","15.3.Bz","13.1.By","19.3.pa","25.1.By","33.2.PA","3.2.Bz","22.2.By","26.2.Bx","20.2.By","18.3.pa","taxonomy"
"Unassigned;__;__;__;__;__",4,5,9,5,4,11,4,55,165,7,10,10,11,11,7,3,7,11,10,9,5,11,6,8,7,8,13,8,8,3,79,13,15,15,3,7,11,7,4,8,13,13,5,6,16,8,18,9,7,9,9,14,14,5,3,14,12,9,10,10,11,7,6,6,11,10,9,8,6,6,5,7,7,10,12,2,6,7,3,12,12,7,12,6,9,9,14,14,10,12,14,16,24,14,15,12,6,10,6,17,13,9,17,13,9,9,48,16,7,10,12,8,3,13,9,7,7,4,1,10,26,7,6,5,18,8,12,7,14,8,4,8,16,14,10,10,12,8,11,10,4,13,1,7,8,11,6,13,13,6,5,15,7,10,3,10,13,11,9,7,11,10,9,9,14,6,17,15,7,8,20,14,12,17,7,41,26,8,88,16,19,8,10,9,11,12,8,19,19,11,7,12,12,14,9,16,19,11,12,13,13,22,21,6,19,8,8,7,11,45,25,12,32,3,9,14,12,6,13,12,7,12,9,0,12,35,12,26,10,6,9,307,44,27,19,3,13,5,15,22,0,12,13,16,17,4,7,14,26,42,20,10,0,8,20,25,9,17,12,40,0,63,25,4,1,7,0,15,8,4,7,7,0,6,0,41,0,0,0,0,0,0,0,0,0,0,"Unassigned;__;__;__;__;__"
"k__Archaea;__;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Archaea;__;__;__;__;__"
"k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera"
"k__Archaea;p__Euryarchaeota;c__DSEG;o__ArcA07;f__;g__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Archaea;p__Euryarchaeota;c__DSEG;o__ArcA07;f__;g__"
"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,4,0,0,20,0,0,1,1,1,3,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,8,39,0,6,42,204,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,26,0,14,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,5,5,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter"
"k__Archaea;p__[Parvarchaeota];__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Archaea;p__[Parvarchaeota];__;__;__;__"
"k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114;f__;g__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114;f__;g__"
"k__Bacteria;__;__;__;__;__",507,798,705,726,457,580,615,947,8287,891,908,1079,409,768,648,523,906,821,573,413,672,906,404,699,439,791,1022,615,348,636,3481,630,1005,778,742,734,614,547,733,495,852,495,833,403,654,443,585,674,454,738,900,440,736,1021,696,1136,824,491,896,620,656,541,1145,609,997,652,603,663,744,772,488,650,628,593,548,1759,798,782,930,277,881,951,843,806,736,759,818,1151,722,640,667,625,461,817,1372,1018,710,744,860,1140,621,1265,1260,869,692,629,612,551,890,673,705,829,432,795,483,611,1042,885,724,698,737,1009,934,706,800,1201,987,819,775,888,577,830,842,691,956,782,446,399,795,760,516,663,436,1033,664,738,532,816,1246,458,505,706,811,719,593,997,878,728,565,725,928,559,808,662,651,1042,600,528,574,1279,1556,847,885,1058,820,921,1604,687,867,1678,1176,1025,834,980,1190,846,1006,777,901,938,870,690,755,846,763,1628,862,1603,573,702,446,986,583,663,734,516,557,483,630,644,604,667,973,603,1026,520,865,727,938,1098,659,810,734,4,1102,1033,603,1016,468,666,651,3598,780,1948,1010,567,710,398,889,704,0,884,978,1232,533,1012,548,855,1614,1233,855,770,1,428,895,1965,1695,3608,1509,2807,1,2968,4927,314,132,634,3,363,509,379,772,896,2,156,7,518,0,0,1,1,0,3,0,1,1,0,"k__Bacteria;__;__;__;__;__"
"k__Bacteria;p__AD3;c__ABS-6;o__;f__;g__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria;p__AD3;c__ABS-6;o__;f__;g__"
"k__Bacteria;p__AD3;c__JG37-AG-4;o__;f__;g__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria;p__AD3;c__JG37-AG-4;o__;f__;g__"
