"","4.1pa","3.3Bz","1.3Bx","1.3By","4.1Bx","3.3Bx","1.3Bz","3.3By","4.1By","4.1Bz","4.2Bx","5.1Bz","5.2Bx","5.1By","1.3pa","4.3Bz","6.2By","5.1Bx","4.2By","3.3pa","4.2Bz","4.3Bx","8.1By","5.2Bz","5.3Bz","7.1By","6.3Bx","4.3pa","5.1pa","5.3Bx","6.2Bx","4.2pa","4.3By","6.2Bz","7.1Bz","6.1By","6.3Bz","5.3pa","7.1pa","6.3pa","6.1pa","6.1Bz","5.3By","6.1Bx","8.3pa","9.2Bx","8.3By","8.3Bx","10.1Bz","9.1Bz","8.2By","7.1Bx","8.1Bz","8.1Bx","6.2pa","10.1By","9.2By","8.3Bz","11.1Bx","10.2Bx","9.2Bz","9.1pa","9.2pa","10.1pa","10.1Bx","8.1pa","12.2pa","11.2By","11.2pa","11.1Bz","11.2Bx","11.1By","10.2By","12.1Bx","11.1pa","10.2Bz","12.1Bz","13.1Bx","12.2By","12.1pa","12.2Bz","12.2Bx","13.1By","12.3By","12.3Bz","14.1pa","12.1By","10.2pa","15.3Bx","15.2pa","15.3pa","14.1By","15.1Bz","14.1Bz","11.2Bz","13.1Bz","15.1pa","12.3pa","12.3Bx","15.3Bz","15.3By","15.2By","15.2Bx","15.1Bx","16.1Bx","16.2pa","16.1By","13.1pa","15.2Bz","14.1Bx","16.2Bx","16.3By","16.2Bz","16.3Bx","17.1pa","17.2Bx","17.1Bx","17.1By","16.3Bz","16.1Bz","16.1pa","18.2Bx","17.3pa","17.3By","17.3Bz","17.2pa","18.1By","16.2By","16.3pa","17.1Bz","17.2Bz","17.2By","18.3By","19.2Bx","19.3Bx","19.1Bz","18.3Bz","18.2By","18.2Bz","19.1By","17.3Bx","18.1Bz","19.1Bx","19.2By","20.1By","19.2Bz","19.2pa","18.2pa","19.3pa","19.3Bz","20.2Bx","19.1pa","18.1pa","18.1Bx","20.2By","22.2Bx","22.2pa","22.2Bz","20.3Bz","19.3By","20.1Bz","20.2Bz","20.3By","18.3pa","18.3Bx","24.2pa","23.2By","23.2Bx","22.3By","22.3Bz","22.3Bx","20.3Bx","23.1By","20.1Bx","20.1pa","20.2pa","24.2Bz","23.2Bz","23.1Bx","24.2By","23.2pa","23.1Bz","22.3pa","22.2By","24.1By","24.1Bx","20.3pa","26.1By","25.2Bz","26.1Bz","26.1pa","23.1pa","25.2Bx","25.1Bz","24.2Bx","24.1Bz","25.1Bx","24.1pa","27.2By","27.1Bx","26.2Bz","25.2By","26.1Bx","26.2Bx","27.1By","26.2pa","27.1Bz","26.2By","25.1By","25.2pa","27.1pa","27.2Bx","27.2Bz","27.2pa","25.1pa"
"541.1380114",2511846.746,38451.496,20304.594,64772.744,11244.722,15973.522,11426.488,740790.09,1751175.102,15699.528,16711.754,56379.634,1410406.378,17361.564,17676.206,63602.404,0,19141.07,474702.818,18401.922,11496.528,31913.202,82203.162,56603.122,25960.442,182862.972,19904.24,875375.828,78154.098,45377.79,13721.25,1458360.648,1071330.996,51289.366,31891.914,23328.766,19282.208,19519.23,361059.13,6519.644,15392.092,15555.846,43622.04,8645.534,29498.882,28537.982,92444.816,38693.514,61043.494,33687.06,151670.638,45932.604,7980.57,10738.752,16147.348,257519.302,84795.878,29991.958,31633.074,57774.68,22685.48,11349.868,19393.728,173659.446,25933.286,17467.974,392165.994,73304.81,29113.344,37268.814,57299.886,35202.068,45243.242,45750.67,34585.046,52029.398,30114.534,73914.274,32647.022,202099.136,31625.182,23617.354,375667.182,408990.422,55691.526,197068.276,159427.644,38812.46,4566.618,519410.544,539420.412,209841.126,311227.644,41892.644,20928.34,55901.564,114883.932,485586.056,42568.566,48178.688,117932.676,0,65105.6,22031.314,48864.474,809059.922,434359.386,197107.8,0,31179.728,41385.77,318927.066,67624.63,37156.34,887738.738,14196.034,19283.618,14719.718,34671.258,33820.234,292077.018,116112.732,9614.386,9995.136,5930.99,8731.898,23365.72,1057110.646,18886.764,30729.918,10472.348,649051.846,186490.636,18636.492,64493.356,17903.116,15109.296,13487.774,31565.378,40842.702,0,37117.228,7331.188,110348.936,40912.406,25875.762,0,16420.256,543504.178,61944.028,12935.496,78003.798,175304.554,25038.048,96948.942,61996.138,189207.902,51476.392,15453.48,602933.262,21311.2,27280.772,1693.15,14115.494,32041.344,4225.236,530943.764,59297.504,15720.086,31382.114,2922.998,2339.232,71348.576,14971.036,53155.256,45506.21,43184.896,58246.73,47050.208,16652.98,0,45824.362,19377.76,137424.262,1050919.324,26266.33,257924.178,27603.886,45855.056,44419.71,9308.37,379168.864,30327.446,23730.942,15256.308,2297.436,16057.918,0,26299.44,47074.398,23785.168,13420.892,43567.426,61744.828,29055.082,29200.994,30360.922,15705.678,9749.072,26396.086,26418.956,36702.726,26111.118,22940.342,11380.772
"214.9197561",630273.568,652466.522,672818.618,624347.762,589965.75,641385.09,591334.048,603656.534,539727.894,598531.308,584202.76,658364.716,680579.374,628471.338,636908.072,627847.92,671876.81,631463.432,606632.876,611590.256,563096.674,624334.486,593514.636,681442.126,638252.38,675761.38,586804.32,611592.254,706540.604,681847.352,692948.774,615171.202,613265.282,610667.204,606089.934,593794.006,684236.532,682489.374,598741.948,628376.144,629498.652,585519.382,674768.408,631361.32,688484.4,655199.314,629486.258,713775.782,617864.526,662466.316,613979.246,607375.08,658356.528,664680.192,619431.958,594088.844,636917.968,593454.726,553317.062,0,677644.456,705995.966,596908.872,669666.234,731609.934,648919.908,523396.986,521386.246,559541.156,518402.74,564875.196,598015.256,692577.784,525385.17,593390.742,616035.776,536029.402,577188.584,507113.612,582361.77,680649.886,552987.88,536319.454,570815.932,599969.92,526415.92,549090.228,604311.518,552489.368,610405.832,568127.996,476749.432,597092.516,545378.09,497963.288,527034.478,538769.392,515686.476,571685.922,692950.012,594929.752,526008.456,519821.708,489848.932,466622.424,564084.39,544735.366,608313.176,438428.526,517192.346,752199,665328.142,536512.632,569871.806,558196.2,547824.234,514778.816,548237.278,624122.678,555487.622,495896.396,503112.074,369630.952,368388.928,358408.268,548451.886,730152.974,544685.768,751069.062,543624.304,553615.96,492639.118,717710.192,549701.906,668872.892,451973.062,648947.132,563326.358,676227.182,492715.928,416112.832,641214.154,484558.914,508062.912,562356.226,493419.808,517657.8,499680.352,611314.698,662536.002,482817.722,497342.644,554223.276,578481.176,520545.822,711915.348,634745.384,643575.568,582456.326,648572.626,554648.89,578842.61,557575.466,657504.488,592510.204,620083.26,684489.67,675503.404,576477.65,588851.882,525587.08,355315.276,657245.512,563779.812,530474.322,496326.594,572638.804,656241.582,697356.784,556909.174,652835.376,689908.072,592287.538,575734.258,624467.594,614692.244,370173.71,566154.802,514429.042,664599.38,626626.512,674341.556,524224.922,602300.766,565908.952,586569.692,560143.356,578277.128,676883.37,763266.908,553464.02,468545.574,609136.188,598354.608,539576.854,603184.056,570760.884,540550.806,556081.44,507952.36,570043.528,565991.498,584075.608,637809.836,524945.918
"250.9392226",560961.402,599043.25,544559.398,576050.618,569613.754,539507.768,606539.528,586666.024,590153.768,678331.09,607751.85,586825.218,528011.312,566944.23,553535.908,559887.08,605671.5,599580.62,552401.856,594982.438,515210.622,526824.884,591110.662,670882.842,518395.952,574779.46,509257.354,573544.566,545154.094,563138.176,524593.572,604009.3,552254.94,580046.128,564530.388,529260.326,498208.972,526824.776,569351.176,521673.11,563357.534,545374.362,590937.332,501600.952,494299.112,600905.626,575414.482,565466.938,578689.418,575502.636,601258.44,591112.838,623125.542,618406.112,607014.874,593151.788,570046.534,475629.872,467675.366,0,521803.796,574231.768,551821.51,629287.99,610566.318,510932.614,529766.098,502906.054,405612.65,428805.82,460836.502,434244.586,635171.752,440379.522,409568.314,577608.712,500299.32,438151.868,467815.468,446933.73,447817.994,411056.772,413627.062,457309.916,551199.13,463062.274,457323.118,543023.352,576389.702,444705.45,516275.698,424747.842,453899.922,477412.54,426378.682,448527.804,407922.23,488504.122,475327.768,471259.62,492998.502,443104.862,399743.03,448615.26,401424.842,437827.224,489198.368,452409.206,441800.858,432269.302,464423.928,474402.168,431524.596,450915.734,420333.214,417539.91,377260.3,450595.398,501347.466,426467.582,424607.616,373434.41,341345.98,281368.624,342382.568,416021.284,448581.254,461875.9,512437.672,432134.074,527623.814,376153.278,495444.788,412915.64,506079.026,396601.216,461734.942,436108.386,398199.086,565267.206,283779.94,501029.316,401976.674,366842.896,476835.316,436705.194,408837.672,388491.548,480559.402,482878.388,449966.322,374966.286,432199.522,522640.348,479807.67,496291.85,487823.802,521121.732,504005.108,549437.89,451156.576,484920.958,526404.85,456821.336,540730.964,475059.592,518032.014,488136.986,501254.27,523518.184,439810.676,325205.392,531889.936,432684.526,390489.528,437670.598,456366.226,531563.926,474953.082,481471.438,455456.88,540333.752,477628.338,473999.418,458306.64,494625.204,296943.11,459803.172,451594.992,458892.432,446377.888,509322.876,448616.804,466644.66,475019.892,467682.964,467684.558,440325.9,486451.93,474558.286,463665.922,406656.142,489630.58,449170.2,469719.734,465285.004,424687.004,451986.572,426448.746,419106.164,536049.138,405629.804,445441.304,510109.472,383162.956
"232.92873",653207.126,545013.856,643366.924,562199.676,557092.35,603746.568,592211.336,676850.83,514311.914,601190.754,503050.23,557337.514,586793.766,650589.598,559191.046,555389.13,638871.97,552306.638,551201.17,585880.18,493133.664,609645.91,541762.418,542617.732,605442.592,592321.282,565091.288,579640.026,561070.004,573953.984,586043.536,565795.962,614885.892,596560.236,538469.06,531586.794,525679.528,611022.99,518296.042,593181.93,606320.728,584034.036,659721.474,545892.812,586161.896,615106.586,598714.978,579891.978,531875.03,603723.424,636911.6,566909.402,627661.524,561821.842,608121.822,535130.53,605043.67,608951.506,512679.946,0,602357.864,589728.34,535744.548,512185.332,733899.8,536299.1,461041.432,469630.802,477676.156,465351.182,502491.33,516467.74,751539.952,438103.614,446933.42,613690.94,474261.888,493007.47,493092.518,435385.824,532160.94,482148.486,451266.77,500929.096,537170.576,490465.704,465619.01,577626.282,508578.87,489703.48,560562.086,440340.72,472012.274,496296.826,464662.696,481468.58,441722.142,511475.818,499543.478,627588.77,480809.276,469566.114,421293.212,457161.188,426009.894,492191.198,502974.55,583685.222,462117.814,452571.108,524272.96,585501.678,461609.982,584486.202,470499.66,496081.476,489453.354,498875.324,591341.5,468616.504,444271.22,389813.768,382627.096,306390.426,309514.544,394862.336,598275.278,436404.448,646472.662,459173.112,429738.214,412148.478,587685.664,450359.962,661348.092,431775.834,568936.272,508741.156,509259.16,441373.598,328954.036,518137.31,424446.956,442363.212,504500.156,468144.808,430402.116,476502.284,589856.114,587217.182,498063.934,408925.268,517880.118,509079.83,454936.504,570815.144,548942.502,580805.878,569080.126,630909.394,459648.392,493358.426,497606.1,509387.726,541200.144,588837.598,562696.66,542626.692,497958.534,508448.548,482904.46,326537.402,623664.996,485777.234,472526.608,426746.172,484433.594,603740.446,529256.746,518425.066,563905.31,684037.968,524571.12,453599.982,527557.366,549280.204,309673.594,544830.014,517103.638,519995.974,451099.034,574123.712,491689.752,501194.028,465998.93,488366.786,542329.374,496228.9,527224.6,512615.084,521438.606,440402.18,531748.222,467655.822,477506.646,543238.39,510781.312,490720.976,503171.114,399555.768,453656.106,508477.828,474860.702,508960.02,488952.354
"381.2985187",956921.892,18100000,1.5e+07,17300000,13200000,15800000,18500000,16800000,16600000,19600000,1.7e+07,9612418.322,12400000,10700000,13300000,11700000,9847247.172,10500000,16100000,18700000,11800000,13900000,673098.544,1.3e+07,13500000,10500000,9310661.712,13900000,9637667.118,12700000,10600000,19100000,17500000,9144715.158,9177530.218,12900000,10600000,14100000,13300000,11200000,9786369.118,12800000,13100000,12500000,10600000,1e+07,10800000,10200000,10300000,10400000,12900000,10500000,11200000,10500000,11900000,10100000,11600000,10900000,10300000,11200000,11700000,10500000,11300000,11600000,10700000,9381382.38,168351.032,7183685.764,6906908.896,10100000,7716485.518,9955856.352,10800000,9933206.2,9707781.668,10900000,9907781.108,151257.838,7137491.506,9883108.824,1e+07,9995644.772,10100000,10500000,7509560.708,9800018.386,10300000,12100000,7023291.89,7777696.206,7321538.072,9933383.224,9978822.426,10300000,8041858.072,10400000,10400000,11100000,8795119.056,7473606.3,5894820.328,0,7720679.252,10300000,10100000,8350778.204,10400000,1e+07,7754855.882,9861321.528,8303587.528,1.1e+07,8015973.63,10100000,10200000,8316907.618,10700000,10200000,11500000,10700000,10700000,7102179.402,12300000,9427460.954,12800000,8329842.812,11300000,7987345.704,11600000,10100000,7242473.484,7548716.154,10500000,7157880.344,11800000,1e+07,10900000,7615995.414,7515545.234,10100000,9838459.486,11800000,9803271.072,7470507.628,7464610.54,7476819.584,7102476.546,7649971.27,11800000,12300000,8793076.23,1e+07,11400000,11800000,8190955.978,7956796.322,8384010.298,8413814.148,11800000,12700000,7555338.916,8060970.544,12100000,10600000,10800000,668808.818,213187.066,232547.86,8266695.334,8880257.75,8880300.47,10900000,1.3e+07,7361763.042,7931337.646,7943820.582,667437.782,261951.272,11800000,871141.338,237102.522,12700000,8656733.548,8877082.564,12500000,13200000,11200000,823996.574,565027.722,802725.144,671001.488,11700000,568305.21,8398833.562,776594.968,11700000,8222533.278,14300000,654481.744,787378.948,583207.802,682753.846,662769.418,876986.822,697074.286,1559359.72,795055.602,717721.216,8370794.758,630907.006,797022.886,818748.788,857973.092,849568.328,8516963.146
"471.1052951",393074.686,490678.176,528875.658,507026.668,402841.76,460538.76,379300.274,461981.846,417305.334,427996.648,331197.978,437283.762,336655.068,322261.366,495168.006,400317.888,346624.548,358559.43,512946.25,329939.556,306023.27,376387.504,399591.272,285554.092,342776.446,363629.37,333601.79,339045.88,470152.446,337958.96,325132.684,317788.214,324120.06,334567.554,337773.468,316602.882,433268.97,325706.288,351912.92,308668.994,320059.528,313250.872,344625.976,369735.186,982502.014,359668.812,1031084.818,1002325.266,393035.132,357540.456,325929.176,342789.422,333236.216,352278.622,327965.67,341029.538,333701.638,995446.002,1044509.554,406693.07,455555.26,358466.016,347553.39,321166.678,372468.66,400961.296,1269746.392,1017453.858,954384.804,1034136.948,1022850.366,1079137.242,409899.028,946424.73,1404412.76,336110.102,948766.74,1133318.274,1059024.484,948491.07,980143.522,935321.154,979156.336,1195868.246,871667.064,1021875.644,947748.998,349817.962,275983.728,950734.204,305949.352,952169.062,1286982.25,1036153.644,890688.308,965468.898,927986.94,1141019.33,788452.76,253527.036,287548.168,880422.954,872268.932,1007570.104,933421.59,915747.888,927713.638,820782.602,967692.098,1010642.124,883813.098,990256.014,911717.868,1006570.74,790164.9,868936.154,817739.69,867804.458,962496.238,909757.6,913336.308,733714.514,673151.758,608263.784,438273.052,1168764.48,1531159.578,747983.55,995440.66,899283.102,796419.784,949749.794,1024908.956,754072.24,1000956.734,757854.726,1284212.112,777215.372,747226.594,656244.712,611251.668,1044231.218,799139.856,811532.52,844312.192,962224.71,765128.432,809136.15,998165.2,737134.802,1084071.918,939956.512,1354931.506,945988.408,798768.638,951910.484,1381425.83,955597.982,272239.916,1059877.82,801396.236,876880.044,315029.158,1354423.116,1262569.416,335135.282,1018191.894,1072544.492,335505.022,296616.854,351790.334,459452.102,999324.86,808473.52,976853.148,756807.912,315998.306,1446757.56,1253155.902,287865.606,983554.776,986556.088,286163.004,919636.718,355612.014,282044.71,480296.29,291660.036,237279.446,286917.866,272716.414,1005874.968,231237.524,267901.772,301704.152,361917.966,245566.318,393775.298,325077.418,276408.628,301029,339632.14,326561.302,333131.956,284880.214,331927.434,344245.784,265666.804,283661.342,237142.99,275811.028,277846.974,266067.796,289887.36,341591.95
"413.2663059",289266.414,548729.506,5830188.996,471183.188,517862.992,584261.474,702111.05,659324.764,608120.268,7478695.144,5842568.67,555199.424,514114.336,466836.806,6376553.938,482372.976,482583.758,744949.852,2418194.858,868053.622,1048331.664,528097.326,230732.79,767832.766,5750187.39,417047.638,6301630.516,665313.992,5163617.276,6385152.602,604325.916,7156314.838,560139.978,674506.382,400358.482,571095.292,6043374.772,687101.05,583694.102,655574.528,602844.63,654580.948,6522602.258,715933.474,337706.776,600879.676,234824.854,343531.88,626137.62,2443363.182,730452.66,337268.806,6555773.086,804855.92,602881.044,531925.382,627463.862,463613.568,545420.03,6058602.504,532452.78,5189187.738,532208.404,625168.564,736985.19,1002919.11,253970.47,457914.44,389027.176,569898.394,523904.766,549204.722,5308948.264,481397.498,468485.684,3295829.65,566585.04,349721.31,337198.28,510272.664,447088.154,454871.558,523487.44,204725.28,282122.486,461692.236,607480.574,5940205.774,335320.582,338481.974,199106.062,460688.216,400501.922,455076.514,503800.518,677627.664,451223.01,267111.832,352175.106,257273.46,214682.738,323105.78,361562.796,676291.896,456038.726,443575.066,445056.298,504002.88,411487.022,541233.774,445167.692,267879.08,429610.118,452636.28,429769.718,216245.92,405830.25,423430.49,343043.332,466804.708,414253.162,265252.586,341415.888,272893.784,304150.56,411324.274,295230.796,554243.038,109858.874,870222.18,364361.222,654085.096,361808.788,367967.666,290652.408,359964.876,399247.54,390905.112,330608.976,346919.92,365834.984,328581.54,298027.656,336462.308,265449.404,422996.018,284285.024,307016.258,346640.06,329586.812,562084.716,329504.334,362194.546,377767.078,273824.278,342269.296,379070.856,337462.798,419976.896,247521.25,380384.08,355637.68,359270.356,293680.402,412651.66,255442.65,228419.254,227893.126,373632.344,263589.118,427383.886,266919.822,357657.294,393160.082,339113.986,307882.37,286587.184,255240.126,300088.962,403257.126,221489.574,347700.794,282528.774,346434.926,286173.82,549449.51,281427.45,257772.278,293564.186,281193.59,309663.874,257070.876,261450.822,484446.504,544060.292,349685.078,445237.044,294710.66,280524.942,330787.948,243693.482,271548.344,246710.688,320371.294,268717.684,308946.31,275170.244,362735.058,285269.68,255428.146,426078.778,264161.078,467312.534,298947.748,330016.602
"125.9865555",451406.314,486961.664,455186.082,395333.55,456073.33,460918.584,403828.5,439796.734,447102.228,441315.046,404528.492,440917.796,474509.39,403468.316,401446.032,471428.204,499652.612,510563.15,366967.356,436973.614,417392.016,393757.51,469202.59,522859.496,462252.586,576172.194,437877.754,476266.344,490096.642,569499.212,422609.054,447889.138,509098.82,370872.204,454636.702,371068.774,360546.388,441040.984,436467.97,482146.616,493011.916,399789.658,484579.75,444547.046,689833.754,648985.036,463770.156,563038.558,481080.012,463299.78,438699.766,392080.576,480321.718,509844.44,467629.696,543940.824,436086.196,402777.044,488665.656,0,523310.75,475487.536,473931.542,467503.922,486352.336,478199.402,440226.316,403031.568,401081.444,405698.22,432103.752,396587.612,591808.89,441458.07,364181.866,484893.468,358082.628,381127.96,470886.814,366615.988,369271.512,443834.61,415035.628,477231.878,404913.138,434174,355011.108,416089.596,342485.474,496658.516,406769.422,395618.956,389623.986,431568.228,333782.726,465451.988,425939.196,397629.046,473935.032,485992.176,453221.93,355677.372,387409.336,399793.892,307713.266,360341.44,397496.17,428517.77,394707.062,417278.61,439866.56,508480.86,358418.062,431690.308,429452.224,366362.65,378029.784,385549.76,543706.978,441970.532,317610.128,447812.196,256047.486,232268.478,395004.698,459500.97,525641.306,365317.328,502933.782,337271.082,452725.306,381389.49,535853.712,362112.396,554579.012,387660.568,517830.816,389134.114,429470.362,405593.766,319143.45,547717.314,400950.592,364829.324,390940.376,488974.926,404124.18,358742.878,570638.744,463494.36,423557.704,368444.69,405428.422,629581.06,438979.554,410674.8,468329.53,542227.396,376127.834,515906.198,403992.544,416508.69,384918.99,415149.946,506772.482,413415.552,632892.14,613981.82,454498.204,362198.526,374499.522,271105.848,507236.796,447533.412,398931.968,310209.066,446166.17,468259.85,378803.762,426023.87,462111.952,413622.664,392222.378,484938.536,439755.318,440914.574,221891.296,475841.608,460590.718,460194.478,482755.81,469969.728,321476.97,432312.778,368660.826,394226.554,382583.366,377720.896,331314.006,488025.792,388063.616,347598.514,372456.122,384568.768,463055.786,514078.266,419986.798,388191.164,408121.964,394159.254,381813.5,342659.564,403769.52,361318.002,347682.478
"855.2484247",652727.214,4230.636,11842.418,9460.284,8015.686,13225.088,4045.766,554570.622,533499.58,17529.89,9880.674,16643.452,236747.842,17494.726,40380.942,16312.514,53927.38,13710.11,165553.554,17228.68,12148.798,6552.318,16737.774,10753.372,15734.862,58100.682,21947.7,196989.61,11732.536,10637.408,6121.962,448430.854,192394.784,10523.27,17257.098,28535.084,22190.708,4101.744,341655.648,3244.86,21447.576,14375.75,12980.324,9246.342,6279.708,17210.212,7010.36,3944.634,7103.056,16805.41,67344.044,15697.198,11149.402,3844.956,38610.788,49376.174,52735.034,2268.936,0,11591.056,7457.124,10196.066,19047.68,36238.21,5914.696,27053.47,30079.934,13349.024,6933.92,11645.216,24757.724,10987.996,7170.548,3238.026,2414.732,7016.738,7701.152,8230.122,10011.154,24651.792,8170.36,0,18920.846,66322.532,5556.04,1761.192,31282.518,9239.364,3326.678,51002.652,37645.952,1284.612,0,6578.964,9032.284,6902.972,3875.48,61182.084,3759.908,15286.026,0,6938.714,5819.726,14525.478,5363.64,55303.146,0,21121.746,0,4790.824,8427.342,14752.482,7945.824,10672.472,70822.512,10601.26,6821.796,9510.564,9792.554,8930.152,41324.694,8624.004,7362.986,2848.092,7447.486,5964.564,5547.594,38645.452,0,14753.454,52514.986,58375.162,8834.128,5573.134,9958.108,6704.558,7659.908,2743.928,3049.396,4744.106,3227.392,7323.95,10551.704,18006.948,6209.49,7750.7,4206,9841.596,40696.77,8959.302,4453.444,5644.812,11883.708,10141.202,6591.61,3750.944,29499.514,4573.14,10149.32,68091.098,3594.258,5070.002,2644.088,1714.416,6925.89,2769.418,47795.488,5737.904,4516.582,2159.576,5896.634,3166.032,10973.198,2182.376,7116.068,9053.498,2284.116,5169.682,1385.964,865.532,10607.868,6375.454,8172.806,42042.988,0,4392.438,0,12441.48,8127.072,7936.84,4799.2,18216.804,9571.694,2057.24,6178.426,3309.738,2254.556,0,7650.388,6486.786,7929.402,5125.846,4022.03,11176.588,7775.616,10110.448,2088.32,16511.51,2775.138,20090.04,2871.072,20530.054,8065.36,3023.054,4456.816
"473.1057221",264097.916,199259.652,216087.424,254500.112,268279.872,286329.004,285815.24,430273.498,286448.446,271688.394,183755.38,274216.536,250918.404,201230.678,195255.426,306432.058,300065.652,207182.866,181657.27,224661.23,253616.432,201381.054,252555.912,303146.474,194292.376,216945.926,217016.756,190757.4,228324.188,183887.072,222085.168,298513.306,213620.092,192678.594,302356.222,201782.048,208836.966,199274.01,222698.498,305755.54,234516.044,207603.06,287500.036,257345.08,613593.748,159832.448,961243.498,843665.534,227226.468,277989.954,204021.756,206236.052,194064.21,175154.534,241643.456,260029.472,187302.644,924341.88,876705.382,231007.874,221703.152,280952.266,221894.568,303657.936,206821.558,226111.954,1348923.016,721396.016,646966.126,630708.602,921558.438,979239.87,181553.932,783435.404,1015561.35,192903.33,858476.594,848549.572,930723.536,597606.406,925405.52,978352.936,754557.686,748126.216,807612.67,942177.93,915559.522,258433.172,195141.002,907667.58,182669.146,952327.952,910557.92,657684.494,612519.076,795133.18,599138.99,855056.634,830835.344,183319.304,273845.104,0,853398.568,922553.476,570694.706,845967.246,594585.78,881126.58,745315.882,934240.63,854886.732,717677.892,578769.236,619742.21,886376.032,749154.94,650980.192,536038.596,681042.814,772608.354,855651.23,709865.898,404928.938,435000.874,317310.234,747982.192,671391.202,827354.982,908774.674,481256.08,779018.022,670657.104,879874.046,571301.636,624899.098,480017.64,949464.682,539038.678,496075.304,760132.78,399411.044,916445.548,512610.962,652815.404,777672.27,572587.228,768941.01,594120.114,650903.502,468852.08,602628.752,696571.234,858707.734,784148.59,764155.28,493274.232,587599.964,880951.012,224742.942,796799.236,530595.38,617921.696,244624.596,866436.694,876828.848,190449.55,1061604.758,980470.376,212295.12,227364.774,206894.502,423634.552,601990.93,547396.11,697963.516,693020.002,175509.094,1123853.116,943377.978,214151.67,1063267.766,815123.37,247502.45,822222.146,209981.956,184407.692,278154.046,269731.498,166339.2,185677.6,184052.304,843303.22,198455.916,191817.434,173859.71,238467.55,217941.39,190760.306,249465.256,181941.082,171796.198,149362.92,171878.494,246221.944,199368.778,156546.604,186201.64,163633.822,150763.956,203100.626,181008.544,217379.552,193342.918,169265.524,172177.88
