,#OTU ID,984N2,948N2,954P,973P2,981P,985P,951N,962P,706C,970P2,947N2,952P2,971P2,948N,978P2,922C2,739N,921C2,950N2,742P,701C,702C,919C,980N,960N2,920C,960N,988P2,972P,923C,705C,929C2,947N,958P2,922C,953P,706C2,918C,742P2,702C2,950N,990P2,737P,926C2,927C2,735P2,741P,732N2,990P,970P,975N,967N,917C,958P,739N2,971P,983N2,743P,983N,957P2,928C,740P,985P2,988P,918C2,924C,929C,951N2,987P,949N2,923C2,963P,916C2,982N,972P2,701C2,949N,966N,963P2,979N2,955N2,926C,952P,925C2,924C2,732N,921C,705C2,956N,986N,736N,741P2,928C2,956N2,930C,989N,736N2,986N2,919C2,981P2,955N,925C,962P2,734N,957P,978P,737P2,744P2,975N2,927C,973P,744P,989N2,735P,954P2,953P2,916C,984N
25,1ab7f0860f48e14d2150fa5c85b5c36c,40.0,0.0,231.0,0.0,0.0,14.0,7.0,27.0,8.0,49.0,8.0,36.0,0.0,17.0,71.0,28.0,0.0,126.0,0.0,3.0,113.0,1.0,5.0,17.0,0.0,242.0,0.0,9.0,6.0,0.0,29.0,10.0,5.0,0.0,9.0,20.0,0.0,298.0,0.0,5.0,13.0,1.0,39.0,34.0,19.0,35.0,9.0,22.0,5.0,218.0,53.0,168.0,87.0,0.0,40.0,24.0,0.0,134.0,593.0,0.0,214.0,44.0,43.0,38.0,64.0,14.0,26.0,6.0,8.0,2.0,23.0,7.0,0.0,4.0,108.0,13.0,15.0,19.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,26.0,13.0,0.0,1.0,15.0,100.0,16.0,0.0,272.0,0.0,50.0,394.0,0.0,0.0,0.0,0.0,13.0,105.0,51.0,23.0,0.0,3.0,101.0,0.0,0.0,16.0,718.0,0.0,98.0,272.0,68.0
44,a7389121b839012c798dc1842d0818b0,28.0,0.0,166.0,4.0,4.0,0.0,23.0,22.0,0.0,60.0,28.0,4.0,6.0,46.0,19.0,20.0,0.0,100.0,0.0,17.0,45.0,3.0,5.0,0.0,0.0,91.0,2.0,13.0,16.0,6.0,53.0,25.0,29.0,0.0,0.0,84.0,31.0,280.0,21.0,8.0,25.0,0.0,20.0,0.0,6.0,0.0,0.0,0.0,2.0,168.0,35.0,47.0,40.0,0.0,40.0,33.0,0.0,0.0,468.0,0.0,164.0,64.0,11.0,8.0,157.0,20.0,9.0,24.0,0.0,0.0,8.0,16.0,0.0,2.0,0.0,0.0,37.0,1.0,15.0,1.0,0.0,31.0,134.0,62.0,0.0,14.0,13.0,13.0,2.0,0.0,0.0,0.0,79.0,22.0,4.0,238.0,0.0,51.0,221.0,0.0,0.0,0.0,3.0,16.0,116.0,26.0,0.0,0.0,9.0,190.0,20.0,3.0,11.0,312.0,8.0,57.0,138.0,48.0
591,44ec7d9edbf01d2d921d0cf6796fe6ba,0.0,0.0,281.0,1.0,0.0,0.0,69.0,0.0,4.0,200.0,287.0,23.0,80.0,0.0,288.0,105.0,100.0,125.0,0.0,29.0,107.0,48.0,0.0,38.0,238.0,482.0,99.0,27.0,206.0,0.0,45.0,111.0,209.0,0.0,15.0,323.0,5.0,0.0,94.0,4.0,94.0,130.0,124.0,19.0,0.0,205.0,335.0,63.0,23.0,247.0,305.0,119.0,0.0,0.0,118.0,381.0,0.0,0.0,0.0,87.0,102.0,146.0,0.0,204.0,0.0,25.0,39.0,27.0,157.0,0.0,77.0,51.0,0.0,1.0,245.0,80.0,0.0,333.0,193.0,880.0,0.0,0.0,220.0,198.0,39.0,201.0,120.0,101.0,127.0,0.0,0.0,32.0,111.0,148.0,89.0,1427.0,0.0,578.0,0.0,0.0,0.0,1.0,0.0,270.0,132.0,333.0,108.0,0.0,161.0,128.0,126.0,620.0,98.0,448.0,28.0,485.0,53.0,19.0
592,8742a7b2affe3a0e90c21b19ac6279d1,0.0,0.0,265.0,1.0,1.0,0.0,116.0,7.0,16.0,233.0,250.0,52.0,180.0,0.0,273.0,67.0,21.0,86.0,0.0,106.0,47.0,39.0,0.0,46.0,211.0,0.0,50.0,10.0,175.0,0.0,35.0,106.0,256.0,0.0,26.0,540.0,10.0,0.0,232.0,4.0,109.0,122.0,79.0,73.0,53.0,183.0,237.0,114.0,0.0,265.0,198.0,68.0,0.0,0.0,70.0,424.0,0.0,0.0,0.0,125.0,133.0,142.0,0.0,0.0,7.0,25.0,64.0,31.0,196.0,0.0,103.0,153.0,0.0,0.0,202.0,129.0,0.0,238.0,82.0,526.0,0.0,9.0,263.0,223.0,39.0,34.0,36.0,150.0,120.0,0.0,0.0,93.0,40.0,123.0,36.0,1096.0,4.0,353.0,0.0,0.0,0.0,0.0,0.0,139.0,98.0,416.0,65.0,0.0,5.0,187.0,96.0,379.0,83.0,137.0,13.0,314.0,67.0,91.0
594,b9be0fff72f5689396e0170c8b779d14,0.0,0.0,166.0,7.0,0.0,1.0,116.0,0.0,13.0,55.0,163.0,29.0,74.0,0.0,97.0,57.0,43.0,34.0,20.0,33.0,45.0,23.0,0.0,0.0,121.0,0.0,56.0,0.0,95.0,0.0,21.0,38.0,96.0,0.0,0.0,159.0,16.0,0.0,41.0,4.0,18.0,113.0,0.0,85.0,13.0,123.0,435.0,63.0,3.0,90.0,164.0,20.0,0.0,0.0,43.0,162.0,0.0,0.0,0.0,40.0,71.0,87.0,0.0,60.0,0.0,0.0,62.0,46.0,78.0,0.0,62.0,36.0,0.0,0.0,206.0,71.0,0.0,179.0,135.0,496.0,0.0,35.0,85.0,148.0,16.0,117.0,0.0,0.0,82.0,303.0,4.0,57.0,68.0,73.0,41.0,0.0,0.0,537.0,0.0,0.0,0.0,0.0,0.0,138.0,37.0,457.0,49.0,0.0,56.0,121.0,47.0,457.0,56.0,267.0,17.0,315.0,49.0,1.0
597,35d9820919c621b406f491ef29e756bd,0.0,0.0,128.0,2.0,0.0,1.0,237.0,0.0,0.0,168.0,91.0,86.0,133.0,3.0,236.0,63.0,39.0,53.0,2.0,75.0,33.0,9.0,0.0,61.0,115.0,0.0,79.0,41.0,88.0,0.0,50.0,51.0,120.0,4.0,5.0,443.0,15.0,0.0,146.0,0.0,56.0,266.0,24.0,68.0,52.0,94.0,166.0,61.0,36.0,0.0,112.0,61.0,0.0,0.0,26.0,227.0,0.0,0.0,0.0,188.0,50.0,102.0,0.0,0.0,0.0,24.0,113.0,44.0,64.0,0.0,69.0,102.0,0.0,0.0,162.0,70.0,0.0,121.0,155.0,429.0,0.0,1.0,36.0,315.0,36.0,0.0,22.0,128.0,41.0,645.0,0.0,131.0,51.0,69.0,0.0,0.0,0.0,692.0,0.0,0.0,0.0,31.0,0.0,112.0,183.0,826.0,110.0,0.0,60.0,35.0,64.0,508.0,0.0,98.0,34.0,210.0,17.0,31.0
601,1632a01f6362c76d4f74f57874116067,0.0,0.0,87.0,0.0,0.0,1.0,169.0,0.0,4.0,116.0,13.0,105.0,224.0,4.0,122.0,0.0,0.0,50.0,0.0,33.0,18.0,9.0,0.0,71.0,40.0,17.0,23.0,38.0,97.0,14.0,23.0,46.0,126.0,0.0,0.0,451.0,0.0,3.0,146.0,4.0,37.0,166.0,0.0,48.0,36.0,45.0,118.0,0.0,95.0,103.0,96.0,0.0,0.0,0.0,5.0,207.0,0.0,1.0,0.0,169.0,25.0,60.0,0.0,0.0,0.0,30.0,97.0,13.0,50.0,0.0,37.0,88.0,0.0,0.0,112.0,68.0,0.0,49.0,79.0,234.0,0.0,24.0,119.0,78.0,49.0,24.0,39.0,168.0,0.0,550.0,0.0,98.0,5.0,77.0,0.0,467.0,0.0,298.0,0.0,4.0,0.0,11.0,0.0,52.0,83.0,662.0,0.0,0.0,20.0,43.0,70.0,96.0,24.0,0.0,24.0,82.0,12.0,28.0
602,f23821308d85a181f90a6988905a0cb0,0.0,0.0,82.0,9.0,0.0,0.0,138.0,7.0,14.0,107.0,64.0,48.0,366.0,0.0,309.0,0.0,0.0,42.0,0.0,120.0,2.0,6.0,0.0,19.0,221.0,0.0,58.0,49.0,126.0,0.0,71.0,56.0,193.0,3.0,0.0,895.0,6.0,0.0,410.0,10.0,0.0,344.0,4.0,90.0,80.0,25.0,46.0,122.0,25.0,134.0,135.0,41.0,0.0,0.0,17.0,233.0,0.0,4.0,0.0,259.0,11.0,71.0,0.0,17.0,0.0,5.0,88.0,70.0,102.0,0.0,0.0,145.0,0.0,0.0,0.0,178.0,0.0,81.0,94.0,177.0,0.0,7.0,95.0,94.0,69.0,0.0,0.0,213.0,32.0,944.0,0.0,213.0,21.0,45.0,39.0,655.0,2.0,417.0,0.0,0.0,0.0,0.0,0.0,169.0,161.0,999.0,128.0,0.0,10.0,163.0,55.0,35.0,8.0,2.0,29.0,165.0,60.0,4.0
605,dcc2834f43b85d7b356cba41b294faf4,0.0,0.0,76.0,0.0,0.0,0.0,78.0,0.0,0.0,34.0,36.0,59.0,30.0,2.0,20.0,0.0,125.0,44.0,0.0,32.0,23.0,3.0,0.0,10.0,26.0,0.0,32.0,4.0,22.0,224.0,0.0,0.0,15.0,0.0,24.0,83.0,0.0,1.0,11.0,0.0,30.0,12.0,0.0,73.0,2.0,46.0,160.0,20.0,71.0,50.0,73.0,83.0,0.0,0.0,48.0,15.0,0.0,1.0,0.0,100.0,53.0,54.0,0.0,31.0,2.0,125.0,32.0,9.0,65.0,0.0,0.0,23.0,2.0,0.0,35.0,18.0,0.0,59.0,91.0,157.0,0.0,92.0,28.0,25.0,0.0,104.0,42.0,0.0,55.0,222.0,0.0,20.0,3.0,4.0,62.0,185.0,0.0,206.0,0.0,0.0,0.0,0.0,8.0,125.0,16.0,52.0,21.0,0.0,22.0,5.0,3.0,292.0,0.0,103.0,0.0,133.0,14.0,11.0
607,72e10e1ccd47d78e6de221edc5b5e1d3,0.0,0.0,69.0,0.0,1.0,0.0,85.0,0.0,4.0,43.0,12.0,46.0,191.0,0.0,149.0,8.0,71.0,9.0,0.0,103.0,0.0,6.0,0.0,23.0,55.0,3.0,37.0,0.0,13.0,0.0,18.0,70.0,67.0,0.0,0.0,388.0,12.0,0.0,186.0,19.0,24.0,201.0,40.0,34.0,30.0,20.0,1.0,0.0,50.0,15.0,28.0,28.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,179.0,38.0,50.0,0.0,0.0,0.0,124.0,10.0,58.0,89.0,0.0,20.0,88.0,0.0,3.0,44.0,76.0,0.0,30.0,20.0,33.0,0.0,30.0,58.0,38.0,24.0,0.0,12.0,87.0,0.0,377.0,0.0,74.0,30.0,19.0,41.0,182.0,0.0,185.0,0.0,0.0,0.0,48.0,21.0,71.0,150.0,400.0,81.0,0.0,16.0,49.0,27.0,15.0,27.0,0.0,15.0,5.0,18.0,2.0
